央视频道,#genre#
CCTV-16奥林匹克,http://ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228320/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228625/index.m3u8

CCTV-17,http://ott.mobaibox.com/PLTV/3/224/3221227578/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227589/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228628/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228642/index.m3u8

CCTV.com,http://ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228585/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228606/index.m3u8

CCTV-1超高清,http://ott.mobaibox.com/PLTV/3/224/3221228581/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228589/index.m3u8

CCTV-3超高清,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV-4K超高清,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8

CCTV-5超高清,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8

CCTV-8K高清,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
4K-UHD,http://ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
4K频道,http://ott.mobaibox.com/PLTV/3/224/3221228615/index.m3u8
香港-8K,http://ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
4K-修复,http://ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
CCTV-高尔夫,http://ott.mobaibox.com/PLTV/3/224/3221227601/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228138/index.m3u8
CCTV-第一剧场,http://ott.mobaibox.com/PLTV/3/224/3221228659/index.m3u8
CCTV-风云剧场,http://ott.mobaibox.com/PLTV/3/224/3221228662/index.m3u8
CCTV-风云音乐,http://ott.mobaibox.com/PLTV/3/224/3221228665/index.m3u8
CCTV-风云足球,http://ott.mobaibox.com/PLTV/3/224/3221228668/index.m3u8
CCTV-怀旧剧场,http://ott.mobaibox.com/PLTV/3/224/3221228671/index.m3u8
CCTV-文化精品,http://ott.mobaibox.com/PLTV/3/224/3221228677/index.m3u8
CCTV-世界地理,http://ott.mobaibox.com/PLTV/3/224/3221228680/index.m3u8
CCTV-央视台球,http://ott.mobaibox.com/PLTV/3/224/3221228683/index.m3u8
CCTV-兵器科技,http://ott.mobaibox.com/PLTV/3/224/3221228686/index.m3u8
CCTV-电视指南,http://ott.mobaibox.com/PLTV/3/224/3221228689/index.m3u8
中央新影,http://ott.mobaibox.com/PLTV/3/224/3221227043/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228704/index.m3u8

